Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core,model_acc,ram
1721228506.67535,medium,6.jpg,0.391216993331909,5075.56772232056,5.50195646286011,belgium,two,50.2,1000
1721228508.00993,medium,6.jpg,0.245373249053955,1065.72890281677,1.33346796035767,belgium,two,50.2,1000
1721228509.42909,medium,6.jpg,0.33074426651001,1061.20419502258,1.41795754432678,belgium,two,50.2,1000
1721228510.71859,medium,6.jpg,0.207971096038818,1063.63105773926,1.28863048553467,belgium,two,50.2,1000
1721228512.09706,medium,6.jpg,0.283184766769409,1065.82474708557,1.37717247009277,belgium,two,50.2,1000
1721228513.38956,medium,6.jpg,0.178670644760132,1084.79595184326,1.29146218299866,belgium,two,50.2,1000
1721228515.01052,medium,6.jpg,0.525870084762573,1067.5995349884,1.6192774772644,belgium,two,50.2,1000
1721228516.49156,medium,6.jpg,0.377547979354858,1074.67269897461,1.48025751113892,belgium,two,50.2,1000
1721228517.73286,medium,6.jpg,0.169687509536743,1052.53267288208,1.24042725563049,belgium,two,50.2,1000
1721228519.20374,medium,6.jpg,0.387614727020264,1061.90943717957,1.46978783607483,belgium,two,50.2,1000
1721228520.62444,medium,6.jpg,0.333954095840454,1066.13278388977,1.41989231109619,belgium,two,50.2,1000
1721228522.09435,medium,6.jpg,0.376431941986084,1067.22927093506,1.46909618377686,belgium,two,50.2,1000
1721228523.65479,medium,6.jpg,0.457980394363403,1074.50819015503,1.55969333648682,belgium,two,50.2,1000
1721228525.07991,medium,6.jpg,0.338648080825806,1061.89131736755,1.42382121086121,belgium,two,50.2,1000
1721228526.30187,medium,6.jpg,0.154276609420776,1048.92373085022,1.22120976448059,belgium,two,50.2,1000
1721228528.12411,medium,6.jpg,0.735636234283447,1057.93762207031,1.82125186920166,belgium,two,50.2,1000
1721228529.44794,medium,6.jpg,0.200942277908325,1091.08829498291,1.32300424575806,belgium,two,50.2,1000
1721228530.96442,medium,6.jpg,0.409199476242065,1085.84213256836,1.51572012901306,belgium,two,50.2,1000
1721228532.24704,medium,6.jpg,0.189959526062012,1062.45136260986,1.28156518936157,belgium,two,50.2,1000
1721228533.74597,medium,6.jpg,0.394171476364136,1085.61706542969,1.49820351600647,belgium,two,50.2,1000
1721228535.07103,medium,6.jpg,0.253317356109619,1045.48835754395,1.32435083389282,belgium,two,50.2,1000
1721228536.41296,medium,6.jpg,0.262070417404175,1060.53972244263,1.3411271572113,belgium,two,50.2,1000
1721228537.81518,medium,6.jpg,0.31515097618103,1059.64040756226,1.40120887756348,belgium,two,50.2,1000
