Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core,model_acc,ram
1721226281.05201,small,6.jpg,0.412749528884888,4439.10527229309,4.9429714679718,belgium,one,44.9,1000
1721226281.92927,small,6.jpg,0.251423120498657,591.620922088623,0.875632762908936,belgium,one,44.9,1000
1721226282.8711,small,6.jpg,0.352057218551636,557.082891464233,0.940197944641113,belgium,one,44.9,1000
1721226283.72807,small,6.jpg,0.280097007751465,557.19256401062,0.855837821960449,belgium,one,44.9,1000
1721226284.62975,small,6.jpg,0.383105754852295,493.469476699829,0.9006507396698,belgium,one,44.9,1000
1721226285.50785,small,6.jpg,0.2022545337677,520.729541778564,0.876644134521484,belgium,one,44.9,1000
1721226286.43742,small,6.jpg,0.39135217666626,506.83856010437,0.92688512802124,belgium,one,44.9,1000
1721226287.14158,small,6.jpg,0.162747859954834,501.27100944519,0.702536582946777,belgium,one,44.9,1000
1721226287.98184,small,6.jpg,0.307956218719482,508.4547996521,0.83902645111084,belgium,one,44.9,1000
1721226288.69323,small,6.jpg,0.15142035484314,528.886079788208,0.710410594940186,belgium,one,44.9,1000
1721226289.54885,small,6.jpg,0.324441432952881,510.909080505371,0.85454249382019,belgium,one,44.9,1000
1721226290.80993,small,6.jpg,0.209494113922119,512.521266937256,1.26005053520203,belgium,one,44.9,1000
1721226291.72404,small,6.jpg,0.318161010742187,569.45276260376,0.910907745361328,belgium,one,44.9,1000
1721226292.65254,small,6.jpg,0.377352952957153,515.001535415649,0.926361083984375,belgium,one,44.9,1000
1721226293.38704,small,6.jpg,0.216049671173096,493.918418884277,0.73240327835083,belgium,one,44.9,1000
1721226294.27795,small,6.jpg,0.319357872009277,538.53964805603,0.889800548553467,belgium,one,44.9,1000
1721226295.05249,small,6.jpg,0.231477737426758,515.705108642578,0.773246049880981,belgium,one,44.9,1000
1721226295.96134,small,6.jpg,0.353002309799194,509.310245513916,0.907770872116089,belgium,one,44.9,1000
1721226296.62003,small,6.jpg,0.131713628768921,499.275207519531,0.657261848449707,belgium,one,44.9,1000
1721226297.67754,small,6.jpg,0.306688785552979,727.594614028931,1.05661463737488,belgium,one,44.9,1000
1721226298.42299,small,6.jpg,0.211341619491577,493.014574050903,0.744502067565918,belgium,one,44.9,1000
1721226299.23441,small,6.jpg,0.274585247039795,511.541604995728,0.809909582138062,belgium,one,44.9,1000
1721226300.02505,small,6.jpg,0.254664421081543,498.155355453491,0.789416790008545,belgium,one,44.9,1000
1721226300.91558,small,6.jpg,0.358955860137939,510.568141937256,0.889278411865234,belgium,one,44.9,1000
1721226301.92197,small,6.jpg,0.41125226020813,556.952714920044,1.00503706932068,belgium,one,44.9,1000
1721226302.78724,small,6.jpg,0.312439918518066,524.392604827881,0.863261461257935,belgium,one,44.9,1000
1721226303.62659,small,6.jpg,0.329597234725952,487.765312194824,0.838060140609741,belgium,one,44.9,1000
1721226304.37422,small,6.jpg,0.197853088378906,510.6520652771,0.746351957321167,belgium,one,44.9,1000
1721226305.21088,small,6.jpg,0.277994871139526,509.951829910278,0.834946632385254,belgium,one,44.9,1000
1721226306.08838,small,6.jpg,0.300167560577393,524.07693862915,0.875663042068481,belgium,one,44.9,1000
1721226306.9802,small,6.jpg,0.350968360900879,500.813722610474,0.889955043792725,belgium,one,44.9,1000
1721226307.70645,small,6.jpg,0.161850452423096,527.008056640625,0.724296569824219,belgium,one,44.9,1000
1721226308.64173,small,6.jpg,0.384417533874512,526.829957962036,0.933997392654419,belgium,one,44.9,1000
1721226309.38976,small,6.jpg,0.201306819915771,498.905897140503,0.746896743774414,belgium,one,44.9,1000
1721226310.351,small,6.jpg,0.374145984649658,553.994178771973,0.95956826210022,belgium,one,44.9,1000
1721226311.20409,small,6.jpg,0.269483804702759,550.018310546875,0.851911783218384,belgium,one,44.9,1000
1721226312.12496,small,6.jpg,0.356459379196167,532.549858093262,0.919585227966309,belgium,one,44.9,1000
1721226312.82232,small,6.jpg,0.136278867721558,528.28311920166,0.69620680809021,belgium,one,44.9,1000
1721226313.65965,small,6.jpg,0.290289640426636,522.840261459351,0.835983991622925,belgium,one,44.9,1000
1721226314.40189,small,6.jpg,0.172269582748413,530.527114868164,0.740649223327637,belgium,one,44.9,1000
1721226329.33753,small,6.jpg,0.367957353591919,502.969264984131,0.921127319335938,belgium,one,44.9,1000
1721226330.22188,small,6.jpg,0.208015918731689,492.400884628296,0.881414175033569,belgium,one,44.9,1000
