Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core,model_acc,ram
1721224369.355805,nano,6.jpg,0.5733828544616699,5359.977245330811,5.962361097335815,belgium,half,37.3,1000
1721224370.0823956,nano,6.jpg,0.3418996334075928,365.1747703552246,0.7253322601318359,belgium,half,37.3,1000
1721224371.1247282,nano,6.jpg,0.5859229564666748,424.7128963470459,1.0411388874053955,belgium,half,37.3,1000
1721224371.8447094,nano,6.jpg,0.2335052490234375,465.58380126953125,0.718742847442627,belgium,half,37.3,1000
1721224372.8839347,nano,6.jpg,0.6489462852478027,367.7186965942383,1.0380675792694092,belgium,half,37.3,1000
1721224373.6469023,nano,6.jpg,0.3354051113128662,401.1213779449463,0.7618889808654785,belgium,half,37.3,1000
1721224374.7233706,nano,6.jpg,0.7060396671295166,354.98571395874023,1.0753719806671143,belgium,half,37.3,1000
1721224375.4664998,nano,6.jpg,0.3447420597076416,367.10572242736816,0.7422327995300293,belgium,half,37.3,1000
1721224376.497769,nano,6.jpg,0.6571230888366699,354.39252853393555,1.0305111408233643,belgium,half,37.3,1000
1721224377.2239325,nano,6.jpg,0.37232327461242676,326.2631893157959,0.7255022525787354,belgium,half,37.3,1000
1721224378.3715286,nano,6.jpg,0.7486813068389893,385.21814346313477,1.1468350887298584,belgium,half,37.3,1000
1721224379.4079373,nano,6.jpg,0.6488909721374512,360.69750785827637,1.0356347560882568,belgium,half,37.3,1000
1721224380.2001078,nano,6.jpg,0.4084444046020508,362.8222942352295,0.7914884090423584,belgium,half,37.3,1000
1721224381.2718995,nano,6.jpg,0.6471166610717773,396.3329792022705,1.070955753326416,belgium,half,37.3,1000
1721224382.1297,nano,6.jpg,0.3894031047821045,439.913272857666,0.8565587997436523,belgium,half,37.3,1000
1721224383.0465598,nano,6.jpg,0.5101428031921387,377.518892288208,0.9158906936645508,belgium,half,37.3,1000
1721224383.636057,nano,6.jpg,0.18495965003967285,374.9971389770508,0.588367223739624,belgium,half,37.3,1000
1721224384.622036,nano,6.jpg,0.6037111282348633,361.71841621398926,0.9852592945098877,belgium,half,37.3,1000
1721224385.2592907,nano,6.jpg,0.24247002601623535,368.4670925140381,0.6365323066711426,belgium,half,37.3,1000
1721224386.3669167,nano,6.jpg,0.7214200496673584,363.9249801635742,1.1067407131195068,belgium,half,37.3,1000
1721224387.2793748,nano,6.jpg,0.5175907611846924,362.72382736206055,0.9114048480987549,belgium,half,37.3,1000
1721224388.1567981,nano,6.jpg,0.4433104991912842,413.102388381958,0.87666916847229,belgium,half,37.3,1000
1721224389.0085232,nano,6.jpg,0.4462623596191406,378.4596920013428,0.8510265350341797,belgium,half,37.3,1000
1721224390.0128944,nano,6.jpg,0.596135139465332,390.1181221008301,1.003615379333496,belgium,half,37.3,1000
1721224390.8597322,nano,6.jpg,0.44457435607910156,377.28071212768555,0.8459439277648926,belgium,half,37.3,1000
1721224391.5178187,nano,6.jpg,0.2609095573425293,374.31979179382324,0.6573374271392822,belgium,half,37.3,1000
1721224392.636027,nano,6.jpg,0.6864385604858398,399.14941787719727,1.1173772811889648,belgium,half,37.3,1000
1721224393.187678,nano,6.jpg,0.17806243896484375,357.35344886779785,0.5508790016174316,belgium,half,37.3,1000
1721224394.330509,nano,6.jpg,0.698763370513916,417.957067489624,1.1420762538909912,belgium,half,37.3,1000
1721224395.1545064,nano,6.jpg,0.42642760276794434,365.8432960510254,0.8232607841491699,belgium,half,37.3,1000
1721224396.1781032,nano,6.jpg,0.5630896091461182,439.47720527648926,1.022810459136963,belgium,half,37.3,1000
1721224396.8212845,nano,6.jpg,0.19611144065856934,420.2883243560791,0.6421718597412109,belgium,half,37.3,1000
1721224397.722115,nano,6.jpg,0.5135498046875,371.3347911834717,0.8998329639434814,belgium,half,37.3,1000
1721224398.2690709,nano,6.jpg,0.14609813690185547,375.7641315460205,0.5460999011993408,belgium,half,37.3,1000
1721224399.3100429,nano,6.jpg,0.577423095703125,444.7784423828125,1.0399634838104248,belgium,half,37.3,1000
1721224399.9716156,nano,6.jpg,0.2460341453552246,388.35954666137695,0.6608362197875977,belgium,half,37.3,1000
1721224401.2138672,nano,6.jpg,0.7963142395019531,414.6406650543213,1.2412161827087402,belgium,half,37.3,1000
1721224401.9727323,nano,6.jpg,0.34029269218444824,392.0741081237793,0.7581601142883301,belgium,half,37.3,1000
1721224402.8570898,nano,6.jpg,0.4487161636352539,418.3003902435303,0.883638858795166,belgium,half,37.3,1000
1721224403.641234,nano,6.jpg,0.40339088439941406,355.5638790130615,0.7833409309387207,belgium,half,37.3,1000
1721224404.5398843,nano,6.jpg,0.5236883163452148,354.9776077270508,0.8979084491729736,belgium,half,37.3,1000
